Date,Open,High,Low,Close,Volume
1/15/2019 15:30:00,464.5,477.95,464.5,473.85,1846946
1/16/2019 15:30:00,474,477.1,468.38,469.13,850621
1/17/2019 15:30:00,467.55,478.5,466.55,477.35,1845117
1/18/2019 15:30:00,474.3,484.38,473.18,483.15,2342528
1/21/2019 15:30:00,484.53,490.75,481.03,482.88,1632709
1/22/2019 15:30:00,481,482.28,468.5,470.38,2395796
1/23/2019 15:30:00,473.75,474.98,469.35,472.23,2820793
1/24/2019 15:30:00,472.45,476.85,469.63,473.23,1477391
1/25/2019 15:30:00,474.5,487.85,473.05,484.7,2155004
1/28/2019 15:30:00,486.5,490,481.95,488.9,1514965
1/29/2019 15:30:00,489,497.43,480.55,494.23,2366569
1/30/2019 15:30:00,509,517.5,500.75,509.2,7026674
1/31/2019 15:30:00,509.8,511.58,493.38,502.6,4529214
2/1/2019 15:30:00,505.3,525,505.25,521.92,3230111
2/4/2019 15:30:00,522.5,528.9,520.15,522.4,2066972
2/5/2019 15:30:00,523.25,527.5,520.75,523.88,1184282
2/6/2019 15:30:00,525.5,532.48,522.55,527.6,1165500
2/7/2019 15:30:00,528,538.9,528,531.45,1625544
2/8/2019 15:30:00,530,538,529.03,534.23,1866901
2/11/2019 15:30:00,534.05,542,531.5,539.67,1578943
2/12/2019 15:30:00,538,539.2,526.38,529.4,1394441
2/13/2019 15:30:00,530,536.5,523.53,535.08,1321888
2/14/2019 15:30:00,535,535,528.53,530.65,985360
2/15/2019 15:30:00,533.1,533.67,520.75,528.63,1246060
2/18/2019 15:30:00,530.4,536,516.25,523.15,1275349
2/19/2019 15:30:00,524,525.6,518.17,519.53,918720
2/20/2019 15:30:00,521.17,530.75,513,528.98,1279177
2/21/2019 15:30:00,530,530.75,521.3,526.7,1301577
2/22/2019 15:30:00,522.1,535.25,522,533.08,1422246
2/25/2019 15:30:00,535.3,542.5,531.48,541.13,1170470
2/26/2019 15:30:00,540.3,547.98,527.48,529.42,1863185
2/27/2019 15:30:00,530,533,519,530.17,1662555
2/28/2019 15:30:00,534.98,534.98,523.85,526.95,3330830
3/1/2019 15:30:00,527.5,530.7,521.88,526.3,1147955
